id,active_ingredient,brand_name,manufacturer,therapeutic_group,pharmacological_class,drug_type,strength,dosage_form,route,indication,indication_category,side_effects,pregnancy_category,controlled_substance,otc_or_rx,food_interaction,alcohol_interaction,num_ingredients,is_combination_drug
1,Amoxicillin + Clavulanate,Augmentin,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Syrup,Oral,Infection,Infectious,Nausea,B,No,RX,0,0,2,1
2,Omeprazole,Seclo,AstraZeneca,Antacid,Proton pump inhibitor,Small molecule,10 mg,Capsule,Oral,Peptic ulcer,Gastrointestinal,Headache,C,No,OTC,1,0,1,0
3,Azithromycin,Azit,Incepta,Antibiotic,Macrolide,Small molecule,250 mg,Tablet,Oral,Respiratory infection,Infectious,Abdominal pain,B,No,RX,0,0,1,0
4,Salbutamol,Brodil,GSK,Bronchodilator,Beta-2 agonist,Small molecule,2 mg,Syrup,Oral,COPD,Respiratory,Headache,C,No,RX,0,0,1,0
5,Lisinopril,Listril,AstraZeneca,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Post-MI,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
6,Metformin,Formet,ACI,Antidiabetic,Biguanide,Small molecule,500 mg,Tablet,Oral,Insulin resistance,Endocrine,Vomiting,B,No,RX,1,1,1,0
7,Ciprofloxacin,Bacquinor,Incepta,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Syrup,IV,Respiratory infection,Infectious,Nausea,C,No,RX,1,0,1,0
8,Ciprofloxacin,Flocin,Renata,Antibiotic,Fluoroquinolone,Small molecule,500 mg,Syrup,Oral,Respiratory infection,Infectious,Headache,C,No,RX,1,0,1,0
9,Fluoxetine,Prozac,Beximco,Antidepressant,SSRI,Small molecule,20 mg,Tablet,Oral,Depression,Neurological,Headache,C,No,RX,0,1,1,0
10,Losartan,Losartan-MSD,Square,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Fatigue,D,No,RX,0,1,1,0
11,Ibuprofen,Brufen,Incepta,Analgesic,NSAID,Small molecule,600 mg,Capsule,Oral,Pain,General,Nausea,D,No,OTC,1,1,1,0
12,Salbutamol,Salbu,GSK,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Syrup,Inhalation,Bronchospasm,Respiratory,Headache,C,No,RX,0,0,1,0
13,Amoxicillin + Clavulanate,Clavam,Beximco,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Syrup,Oral,Infection,Infectious,Vomiting,B,No,RX,0,0,2,1
14,Atorvastatin,Atorin,Pfizer,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Headache,X,No,RX,1,1,1,0
15,Paracetamol,Tylenol,Square,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Capsule,Oral,Pain,General,Rash,A,No,OTC,0,1,1,0
16,Lisinopril,Listril,AstraZeneca,Antihypertensive,ACE inhibitor,Small molecule,20 mg,Tablet,Oral,Post-MI,Cardiovascular,Headache,D,No,RX,0,1,1,0
17,Atorvastatin,Storvas,Square,Lipid-lowering,Statin,Small molecule,20 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
18,Azithromycin,Azithrin,Pfizer,Antibiotic,Macrolide,Small molecule,500 mg,Tablet,Oral,Skin infection,Infectious,Diarrhea,B,No,RX,0,0,1,0
19,Lisinopril,Zestril,Merck,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Hypertension,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
20,Azithromycin,Azithrin,ACI,Antibiotic,Macrolide,Small molecule,250 mg,Capsule,Oral,Infection,Infectious,Nausea,B,No,RX,0,0,1,0
21,Ibuprofen,Profen,Renata,Analgesic,NSAID,Small molecule,400 mg,Syrup,Oral,Inflammation,General,Nausea,D,No,OTC,1,1,1,0
22,Lisinopril,Lisinace,AstraZeneca,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Post-MI,Cardiovascular,Headache,D,No,RX,0,1,1,0
23,Ciprofloxacin,Bacquinor,Renata,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Tablet,IV,Respiratory infection,Infectious,Nausea,C,No,RX,1,0,1,0
24,Cetirizine,Alatrol,Square,Antihistamine,H1 antagonist,Small molecule,10 mg,Syrup,Oral,Allergy,General,Fatigue,B,No,OTC,0,1,1,0
25,Losartan,Cozaar,Novartis,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Heart failure,Cardiovascular,Cough,D,No,RX,0,1,1,0
26,Amlodipine,Amcard,Pfizer,Antihypertensive,Calcium channel blocker,Small molecule,10 mg,Tablet,Oral,Hypertension,Cardiovascular,Edema,C,No,RX,1,1,1,0
27,Metformin,Glucophage,Square,Antidiabetic,Biguanide,Small molecule,500 mg,Tablet,Oral,Insulin resistance,Endocrine,Nausea,B,No,RX,1,1,1,0
28,Omeprazole,Prilosec,ACI,Antacid,Proton pump inhibitor,Small molecule,40 mg,Injection,IV,GERD,Gastrointestinal,Diarrhea,C,No,OTC,1,0,1,0
29,Amlodipine,Amlogard,Square,Antihypertensive,Calcium channel blocker,Small molecule,10 mg,Capsule,Oral,Angina,Cardiovascular,Edema,C,No,RX,1,1,1,0
30,Omeprazole,Prilosec,AstraZeneca,Antacid,Proton pump inhibitor,Small molecule,40 mg,Capsule,IV,Peptic ulcer,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
31,Ibuprofen,Nurofen,Incepta,Analgesic,NSAID,Small molecule,400 mg,Syrup,Oral,Inflammation,General,Nausea,D,No,OTC,1,1,1,0
32,Insulin Glargine,Basalin,Beximco,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
